query_id,Q0,doc_id,rank,BM25_score,system_name
5,Q0,Dawn_(spacecraft),1,8.657546582555781,BM25
5,Q0,Mars_to_Stay,2,8.294918293579293,BM25
5,Q0,Space_exploration,3,7.453610751451315,BM25
5,Q0,Colonization_of_the_Moon,4,6.4665046426793715,BM25
5,Q0,AntÃ³nio_de_Abreu,5,5.969475407374739,BM25
5,Q0,Panspermia,6,5.778924929389811,BM25
5,Q0,Age_of_Exploration,7,5.753939733026511,BM25
5,Q0,Age_of_Discovery,7,5.753939733026511,BM25
5,Q0,Spice_trade,9,5.3192439567620085,BM25
5,Q0,Project_Gemini,10,5.2838808558546795,BM25
5,Q0,Gemini_program,10,5.2838808558546795,BM25
5,Q0,Diogo_Fernandes_Pereira,12,5.150248950116808,BM25
5,Q0,Invention,13,4.623096186621157,BM25
5,Q0,Moluccas,14,4.611923345263318,BM25
5,Q0,List_of_missions_to_Mars,15,4.5098135407977145,BM25
5,Q0,Mars_Curse,16,4.481198004510755,BM25
5,Q0,Exploration_of_Mars,16,4.481198004510755,BM25
5,Q0,Discovery_program,18,4.4768591792477,BM25
5,Q0,Aurora_programme,19,4.458979721274013,BM25
5,Q0,Sample_return_mission,20,4.431106877258418,BM25
5,Q0,European_exploration_of_Africa,21,4.429256905035044,BM25
5,Q0,NASA,22,4.3671428495745275,BM25
5,Q0,James_Cook,23,4.351896085706036,BM25
5,Q0,Interplanetary_contamination,24,4.316071311581628,BM25
5,Q0,Constellation_program,25,4.313431845627319,BM25
5,Q0,Lander_(spacecraft),26,4.304775661175349,BM25
5,Q0,Mars_probe_program,27,4.285133750714237,BM25
5,Q0,Space_architecture,28,4.276698970282537,BM25
5,Q0,Health_threat_from_cosmic_rays,29,4.268891526014075,BM25
5,Q0,Vision_for_Space_Exploration,30,4.266174819273202,BM25
5,Q0,Phobos_program,31,4.259925718032592,BM25
5,Q0,Phobos_(moon),32,4.25579812908671,BM25
5,Q0,Colonization_of_Mars,33,4.255760060417837,BM25
5,Q0,Samuel_de_Champlain,34,4.246641602261871,BM25
5,Q0,SpaceX,35,4.241441404093685,BM25
5,Q0,Soviet_space_program,36,4.217445212955056,BM25
5,Q0,Mars_Orbiter_Mission,37,4.212196248032597,BM25
5,Q0,Fobos-Grunt,38,4.211219249152741,BM25
5,Q0,Discovery_and_exploration_of_the_Solar_System,39,4.1963647363667,BM25
5,Q0,Mariner_4,40,4.1917914692495994,BM25
5,Q0,Spacecraft,41,4.190622548717582,BM25
5,Q0,Timeline_of_Solar_System_exploration,42,4.186320686084866,BM25
5,Q0,Timeline_of_planetary_exploration,42,4.186320686084866,BM25
5,Q0,Japan_Aerospace_Exploration_Agency,44,4.17624049219905,BM25
