docName, score
Moons_of_Jupiter, 0.46278733015060425
Moons_of_Uranus, 0.4419790208339691
Luna_program, 0.2595742344856262
Jupiter, 0.25875210762023926
Moons, 0.2559005320072174
Celestial_body, 0.25456005334854126
Celestial_bodies, 0.25456005334854126
Astronomical_object, 0.25456005334854126
Planetary_flyby, 0.24583226442337036
Miranda_(moon), 0.2410365343093872
Flyby_(spaceflight), 0.23924943804740906
Moon, 0.22581256926059723
Planet, 0.2194579839706421
Planets, 0.2194579839706421
Hill_sphere, 0.21394631266593933
Dwarf_planet, 0.20325344800949097
Saturn, 0.20203980803489685
Phobos_(moon), 0.18931585550308228
Sample_return_mission, 0.18437419831752777
Triton_(moon), 0.1822914034128189
Astronomer, 0.18182861804962158
Mariner_program, 0.17734883725643158
Moons_of_Saturn, 0.17517530918121338
Space_probe, 0.17304947972297668
Space_exploration, 0.160707026720047
In-situ_resource_utilization, 0.1604597419500351
Neptune, 0.1577078104019165
Astronomical_unit, 0.15746819972991943
Momentum_exchange_tether, 0.15518024563789368
List_of_artificial_objects_leaving_the_Solar_System, 0.15364515781402588
Phobos_program, 0.15364515781402588
Neptune_Orbiter, 0.15364515781402588
Discovery_and_exploration_of_the_Solar_System, 0.15210095047950745
Galileo_spacecraft, 0.1514182984828949
Galileo_(spacecraft), 0.1514182984828949
Voyager_program, 0.1502075046300888
Voyager_probes, 0.1502075046300888
Solar_System, 0.14949113130569458
Astronomy, 0.14597907662391663
Uranus, 0.14578670263290405
Cassini%E2%80%93Huygens, 0.1457841843366623
Bow_shock, 0.14546290040016174
List_of_missions_to_Mars, 0.14527527987957
Voyager_2, 0.14382067322731018
Colonization_of_the_Moon, 0.143660306930542
Chandrayaan-1, 0.14121487736701965
Rings_of_Uranus, 0.13549816608428955
New_Horizons, 0.13475395739078522
Pioneer_10, 0.13306060433387756
Axial_tilt, 0.13237252831459045
Pioneer_11, 0.13237252831459045
Space_manufacturing, 0.13037224113941193
Gravity, 0.13037224113941193
Gravitation, 0.13037224113941193
Orbit, 0.130074143409729
Fobos-Grunt, 0.1285722404718399
Interplanetary_contamination, 0.1285722404718399
Astrodynamics, 0.1285722404718399
Planetary_nebula, 0.1261511594057083
Titan_(moon), 0.12431766092777252
Pluto, 0.1235630139708519
Review_of_United_States_Human_Space_Flight_Plans_Committee, 0.12291613221168518
Mars, 0.12263727188110352
Panspermia, 0.11589077115058899
Heliocentric, 0.11582520604133606
Mars_Curse, 0.11562353372573853
Exploration_of_Mars, 0.11562353372573853
Mercury_(planet), 0.1149015724658966
Space_colonization, 0.11462456732988358
Voyager_1, 0.11374109238386154
Far_side_of_the_Moon, 0.1134621649980545
Juno_spacecraft, 0.11084301769733429
Astrology, 0.11022774875164032
Orbit_of_the_Moon, 0.10912448167800903
Landings_on_other_planets, 0.1088654100894928
Moon_landing, 0.10558745265007019
Outer_space, 0.10117059201002121
Interstellar_space, 0.10117059201002121
History_of_astrology, 0.10090789198875427
Space_habitat, 0.09455180168151855
Ocean, 0.09455180168151855
Kuiper_belt, 0.0936015173792839
Roscosmos, 0.09218709915876389
Japan_Aerospace_Exploration_Agency, 0.08691482245922089
Moonlight, 0.0847439169883728
Venus, 0.08321191370487213
Heliophysics, 0.08249518275260925
4_Vesta, 0.08138181269168854
NASA, 0.07983636856079102
Space_elevators, 0.07605047523975372
Helium-3, 0.0756414458155632
Earth%27s_magnetic_field, 0.07273145020008087
Ceres_(dwarf_planet), 0.07273145020008087
Earth, 0.07177483290433884
Galileo_Galilei, 0.07177483290433884
Universe, 0.07167389988899231
Planetary_formation, 0.07071015238761902
Zond_program, 0.06735703349113464
Surveyor_program, 0.0605313666164875
Luna_10, 0.05992300063371658
